Inclui transações da Amazon Marketplace; Fulfillment by Amazon (FBA); e Amazon Webstore;;;;;;;;;;;;;;;;;;;;
Todas as quantias em BRL; a menos que especificado;;;;;;;;;;;;;;;;;;;;;
Definições:;;;;;;;;;;;;;;;;;;;;;;
Imposto de vendas coletados: Inclui impostos sobre vendas coletados de compradores para vendas de produtos; envio e embalagem para presente.;;;;;;;;;;;;;;;;;;;;;
Tarifas de venda: Inclui tarifas de fechamento variável e tarifas de referência.;;;;;;;;;;;;;;;;;;;;;;
Outras taxas de transação: Inclui cobranças retroativas de envio; retenção de envi; taxas por item e taxas de coleta de impostos de vendas.;;;;;;;;;;;;;;;;;;;;
Outros: Inclui quantias de transação não relacionadas a pedidos. Para obter mais detalhes;" consulte as colunas ""Tipo"" e ""Descrição"" para cada ID de pedido.";;;;;;;;;;;;;;;;;;;;;
data/hora;id de liquidação;tipo;id do pedido;sku;descrição;quantidade;mercado;tipo de conta;atendimento;cidade do pedido;estado do pedido;postal do pedido;vendas do produto;créditos de remessa;créditos de embalagem de presente;descontos promocionais;imposto de vendas coletados;tarifas de venda;taxas fba;taxas de outras transações;outro;total
5 de jan. de 2026 06:50:20 GMT-8;25241916271;Pedido;702-7152065-4377840;9,78655E+12;Meditações em Provérbios: Sabedoria Para uma Vida Teocêntrica (Volume 2);1;amazon.com.br;Crédito Mastercard e outros;Vendedor;Brasília;DF;72001;89,9;0;0;0;0;-13,49;0;0;0;76,41
5 de jan. de 2026 07:05:02 GMT-8;25241916271;Pedido;702-1654228-1117060;698883;Mães da aliança 2026: Orando pelos filhos com base nas promessas de Deus;1;amazon.com.br;Crédito Mastercard e outros;Vendedor;Barra Mansa;Rio de Janeiro;27338;99,9;0;0;0;0;-14,99;0;0;0;84,91
5 de jan. de 2026 07:27:27 GMT-8;25296870171;Pedido;702-2758571-2320264;698883;Mães da aliança 2026: Orando pelos filhos com base nas promessas de Deus;1;amazon.com.br;Visa Crédito;Vendedor;Brasília;DF;71680;99,9;0;0;0;0;-14,99;0;0;0;84,91
5 de jan. de 2026 07:50:59 GMT-8;25241916271;Pedido;701-6279621-4189032;698883;Mães da aliança 2026: Orando pelos filhos com base nas promessas de Deus;1;amazon.com.br;Crédito Mastercard e outros;Vendedor;Itajaí;SC;88309;99,9;0;0;0;0;-14,99;0;0;0;84,91
5 de jan. de 2026 08:17:13 GMT-8;25296870171;Pedido;701-9997904-4673868;9,78655E+12;Meditações em Provérbios: Sabedoria Para uma Vida Teocêntrica (Volume 2);1;amazon.com.br;Visa Crédito;Vendedor;Vila Velha;ES;29102;89,9;0;0;0;0;-13,49;0;0;0;76,41
5 de jan. de 2026 08:31:54 GMT-8;25241916271;Serviços de Envio;702-9251908-6513025;;Tarifa de manuseio com base no peso Delivery by Amazon;;Amazon.com.br;Crédito Mastercard e outros;Vendedor;;;;0;0;0;0;0;0;0;-13,45;0;-13,45
5 de jan. de 2026 08:31:54 GMT-8;25241916271;Serviços de Envio;702-9251908-6513025;;Estorno do frete pago pelo comprador;;Amazon.com.br;Crédito Mastercard e outros;Vendedor;;;;0;0;0;0;0;0;0;0;0;0
5 de jan. de 2026 08:31:59 GMT-8;25241916271;Serviços de Envio;702-2694325-3317054;;Tarifa de manuseio com base no peso Delivery by Amazon;;Amazon.com.br;Crédito Mastercard e outros;Vendedor;;;;0;0;0;0;0;0;0;-13,45;0;-13,45
5 de jan. de 2026 08:31:59 GMT-8;25241916271;Serviços de Envio;702-2694325-3317054;;Estorno do frete pago pelo comprador;;Amazon.com.br;Crédito Mastercard e outros;Vendedor;;;;0;0;0;0;0;0;0;0;0;0
5 de jan. de 2026 08:31:59 GMT-8;25241916271;Serviços de Envio;702-0841272-1121056;;Tarifa de manuseio com base no peso Delivery by Amazon;;Amazon.com.br;Crédito Mastercard e outros;Vendedor;;;;0;0;0;0;0;0;0;-6,5;0;-6,5
